RR,SBP
813.0,122.88580322265625
794.0,123.20187377929688
786.0,123.41386413574219
774.0,121.95504760742188
781.0,122.47615051269531
810.0,124.49540710449219
817.0,125.31272888183594
800.0,124.0123291015625
815.0,123.58792114257812
824.0,125.08364868164062
811.0,124.53910827636719
794.0,122.51934814453125
786.0,122.380615234375
814.0,124.05406188964844
815.0,123.6959228515625
788.0,122.80244445800781
811.0,122.68620300292969
827.0,124.4080810546875
823.0,124.19789123535156
801.0,122.67303466796875
802.0,121.8250732421875
807.0,123.13385009765625
836.0,123.23202514648438
822.0,121.72154235839844
824.0,120.65657043457031
847.0,121.608642578125
857.0,121.96382141113281
868.0,121.46694946289062
849.0,120.00422668457031
856.0,119.80731201171875
862.0,120.12925720214844
863.0,120.24885559082031
840.0,119.17402648925781
848.0,119.75868225097656
863.0,121.47273254394531
850.0,122.11614990234375
839.0,120.99305725097656
861.0,122.66569519042969
868.0,123.19520568847656
847.0,122.26710510253906
848.0,121.21539306640625
874.0,123.82844543457031
873.0,123.76005554199219
859.0,122.41751098632812
853.0,121.4439697265625
867.0,123.41996765136719
868.0,123.7938232421875
840.0,121.74259948730469
862.0,121.56338500976562
878.0,122.84458923339844
888.0,122.49162292480469
880.0,121.327880859375
897.0,121.48771667480469
902.0,122.53620910644531
886.0,121.9818115234375
847.0,120.65585327148438
840.0,120.83784484863281
850.0,123.83049011230469
878.0,125.47969055175781
872.0,124.59226989746094
896.0,124.57093811035156
918.0,126.09083557128906
929.0,125.40702819824219
886.0,122.78868103027344
884.0,121.10806274414062
871.0,121.79940795898438
871.0,121.84762573242188
853.0,121.171142578125
846.0,122.50363159179688
871.0,124.69219970703125
883.0,124.217529296875
877.0,123.56547546386719
871.0,122.09410095214844
842.0,122.11180114746094
826.0,121.63462829589844
793.0,121.16352844238281
789.0,121.18904113769531
830.0,124.69223022460938
867.0,125.77839660644531
850.0,125.55802917480469
816.0,123.66311645507812
817.0,123.71502685546875
827.0,125.21742248535156
845.0,124.32286071777344
825.0,123.29925537109375
810.0,121.77568054199219
786.0,121.59371948242188
806.0,122.63764953613281
830.0,123.81283569335938
837.0,123.18984985351562
813.0,121.99490356445312
808.0,120.10063171386719
796.0,120.17318725585938
821.0,121.62544250488281
833.0,121.89152526855469
820.0,121.13180541992188
796.0,119.84465026855469
822.0,121.18431091308594
822.0,122.02711486816406
824.0,122.13955688476562
806.0,119.98068237304688
819.0,120.04583740234375
853.0,121.50555419921875
853.0,121.84375
840.0,119.8992919921875
844.0,119.79869079589844
853.0,121.51832580566406
860.0,121.50962829589844
855.0,120.57679748535156
861.0,118.96429443359375
889.0,119.94938659667969
893.0,119.7445068359375
901.0,118.90605163574219
884.0,117.36344909667969
892.0,117.2906494140625
891.0,118.20474243164062
878.0,118.3538818359375
848.0,118.19894409179688
884.0,119.69198608398438
906.0,122.48358154296875
919.0,122.46524047851562
890.0,121.37446594238281
895.0,120.76301574707031
901.0,121.38545227050781
862.0,121.03048706054688
787.0,121.05709838867188
741.0,120.96124267578125
716.0,123.15859985351562
720.0,124.10862731933594
733.0,124.68305969238281
765.0,125.59927368164062
809.0,126.777099609375
831.0,125.35455322265625
799.0,121.88290405273438
796.0,119.49971008300781
811.0,121.23802185058594
822.0,120.82188415527344
812.0,119.4349365234375
787.0,118.01844787597656
800.0,119.3843994140625
808.0,121.67060852050781
818.0,121.36544799804688
784.0,119.80780029296875
815.0,121.97947692871094
828.0,123.89840698242188
847.0,123.84806823730469
822.0,121.1011962890625
845.0,120.4163818359375
874.0,122.70327758789062
882.0,121.27735900878906
864.0,119.39273071289062
881.0,119.03752136230469
885.0,119.66891479492188
895.0,119.15768432617188
879.0,117.73519897460938
888.0,118.18043518066406
896.0,118.5447998046875
850.0,117.63821411132812
840.0,117.25105285644531
844.0,119.17143249511719
829.0,119.02841186523438
843.0,118.3216552734375
873.0,120.68572998046875
904.0,121.51136779785156
889.0,120.63934326171875
866.0,118.09333801269531
883.0,118.82334899902344
893.0,118.50083923339844
891.0,117.58110046386719
862.0,115.24844360351562
810.0,115.00474548339844
735.0,111.97575378417969
730.0,114.06094360351562
727.0,118.43264770507812
743.0,120.13597106933594
754.0,120.03152465820312
758.0,120.70681762695312
780.0,122.91998291015625
809.0,126.19723510742188
832.0,126.24200439453125
818.0,124.270263671875
824.0,122.11337280273438
